Match 56; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.2520833333333333; Defensive field percentage: 0.7479166666666667
Match 57; Goals pro: 0; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.29875; Defensive field percentage: 0.70125
Match 58; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.06833333333333333; Defensive field percentage: 0.9316666666666666
Match 59; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6608333333333334; Defensive field percentage: 0.33916666666666667
Match 60; Goals pro: 0; Goals against: 4; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.63125; Defensive field percentage: 0.36875
Match 61; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.24291666666666667; Defensive field percentage: 0.7570833333333333
Match 62; Goals pro: 0; Goals against: 5; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.14083333333333334; Defensive field percentage: 0.8591666666666666
Match 63; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.59; Defensive field percentage: 0.41
Match 64; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.3275; Defensive field percentage: 0.6725
Match 65; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.23291666666666666; Defensive field percentage: 0.7670833333333333
Match 66; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.9495833333333333; Defensive field percentage: 0.050416666666666665
Match 67; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7345833333333334; Defensive field percentage: 0.2654166666666667
Match 68; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.3433333333333333; Defensive field percentage: 0.6566666666666666
Match 69; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.5733333333333334; Defensive field percentage: 0.4266666666666667
Match 70; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.3308333333333333; Defensive field percentage: 0.6691666666666667
Match 71; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.04625; Defensive field percentage: 0.95375
Match 72; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.46541666666666665; Defensive field percentage: 0.5345833333333333
Match 73; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.70875; Defensive field percentage: 0.29125
Match 74; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.23333333333333334; Defensive field percentage: 0.7666666666666667
Match 75; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.4995833333333333; Defensive field percentage: 0.5004166666666666
