Match 69; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.805; Defensive field percentage: 0.195
Match 70; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.4995833333333333; Defensive field percentage: 0.5004166666666666
Match 71; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.42791666666666667; Defensive field percentage: 0.5720833333333334
Match 72; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.6825; Defensive field percentage: 0.3175
Match 73; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.17375; Defensive field percentage: 0.82625
Match 74; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.43; Defensive field percentage: 0.57
Match 75; Goals pro: 0; Goals against: 0; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.9429166666666666; Defensive field percentage: 0.05708333333333333
Match 76; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.8475; Defensive field percentage: 0.1525
Match 77; Goals pro: 1; Goals against: 3; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.21125; Defensive field percentage: 0.78875
Match 78; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.9525; Defensive field percentage: 0.0475
Match 79; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.17041666666666666; Defensive field percentage: 0.8295833333333333
Match 80; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5358333333333334; Defensive field percentage: 0.46416666666666667
Match 81; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5633333333333334; Defensive field percentage: 0.43666666666666665
Match 82; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.9441666666666667; Defensive field percentage: 0.05583333333333333
Match 83; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.555; Defensive field percentage: 0.445
Match 84; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.3416666666666667; Defensive field percentage: 0.6583333333333333
Match 85; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.9279166666666666; Defensive field percentage: 0.07208333333333333
