Match 58; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.06458333333333334; Defensive field percentage: 0.9354166666666667
Match 59; Goals pro: 1; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.4245833333333333; Defensive field percentage: 0.5754166666666667
Match 60; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.26875; Defensive field percentage: 0.73125
Match 61; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.5158333333333334; Defensive field percentage: 0.4841666666666667
Match 62; Goals pro: 2; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.3545833333333333; Defensive field percentage: 0.6454166666666666
Match 63; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.43833333333333335; Defensive field percentage: 0.5616666666666666
Match 64; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.13291666666666666; Defensive field percentage: 0.8670833333333333
Match 65; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7558333333333334; Defensive field percentage: 0.24416666666666667
Match 66; Goals pro: 1; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.7; Defensive field percentage: 0.3
Match 67; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.3175; Defensive field percentage: 0.6825
Match 68; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.34708333333333335; Defensive field percentage: 0.6529166666666667
Match 69; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.31875; Defensive field percentage: 0.68125
Match 70; Goals pro: 2; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.42041666666666666; Defensive field percentage: 0.5795833333333333
Match 71; Goals pro: 3; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.40875; Defensive field percentage: 0.59125
Match 72; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.13208333333333333; Defensive field percentage: 0.8679166666666667
Match 73; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.08958333333333333; Defensive field percentage: 0.9104166666666667
Match 74; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.12458333333333334; Defensive field percentage: 0.8754166666666666
Match 75; Goals pro: 0; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.185; Defensive field percentage: 0.815
Match 76; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.4825; Defensive field percentage: 0.5175
Match 77; Goals pro: 2; Goals against: 0; Offensive Free balls: 2; Defensive Free balls: 0; Offensive field percentage: 0.9091666666666667; Defensive field percentage: 0.09083333333333334
Match 78; Goals pro: 0; Goals against: 2; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.74125; Defensive field percentage: 0.25875
Match 79; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.08833333333333333; Defensive field percentage: 0.9116666666666666
Match 80; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.6079166666666667; Defensive field percentage: 0.39208333333333334
Match 81; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.39125; Defensive field percentage: 0.60875
Match 82; Goals pro: 3; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.29375; Defensive field percentage: 0.70625
Match 83; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.50375; Defensive field percentage: 0.49625
Match 84; Goals pro: 3; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.47333333333333333; Defensive field percentage: 0.5266666666666666
Match 85; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 1; Offensive field percentage: 0.45625; Defensive field percentage: 0.54375
Match 86; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.23541666666666666; Defensive field percentage: 0.7645833333333333
Match 87; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.47708333333333336; Defensive field percentage: 0.5229166666666667
Match 88; Goals pro: 1; Goals against: 2; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.435; Defensive field percentage: 0.565
