Match 56; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 2; Offensive field percentage: 0.25875; Defensive field percentage: 0.74125
Match 57; Goals pro: 2; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.3304166666666667; Defensive field percentage: 0.6695833333333333
Match 58; Goals pro: 1; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.14541666666666667; Defensive field percentage: 0.8545833333333334
Match 59; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.11625; Defensive field percentage: 0.88375
Match 60; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.22125; Defensive field percentage: 0.77875
Match 61; Goals pro: 2; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.45125; Defensive field percentage: 0.54875
Match 62; Goals pro: 0; Goals against: 1; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.4691666666666667; Defensive field percentage: 0.5308333333333334
Match 63; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.47791666666666666; Defensive field percentage: 0.5220833333333333
Match 64; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.23625; Defensive field percentage: 0.76375
Match 65; Goals pro: 1; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5941666666666666; Defensive field percentage: 0.4058333333333333
Match 66; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.08291666666666667; Defensive field percentage: 0.9170833333333334
Match 67; Goals pro: 2; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.61125; Defensive field percentage: 0.38875
Match 68; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.40041666666666664; Defensive field percentage: 0.5995833333333334
Match 69; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.4216666666666667; Defensive field percentage: 0.5783333333333334
Match 70; Goals pro: 2; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.78875; Defensive field percentage: 0.21125
Match 71; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.3279166666666667; Defensive field percentage: 0.6720833333333334
Match 72; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.24; Defensive field percentage: 0.76
Match 73; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5225; Defensive field percentage: 0.4775
Match 74; Goals pro: 0; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.5379166666666667; Defensive field percentage: 0.46208333333333335
Match 75; Goals pro: 0; Goals against: 0; Offensive Free balls: 0; Defensive Free balls: 1; Offensive field percentage: 0.38875; Defensive field percentage: 0.61125
Match 76; Goals pro: 1; Goals against: 1; Offensive Free balls: 0; Defensive Free balls: 0; Offensive field percentage: 0.49875; Defensive field percentage: 0.50125
Match 77; Goals pro: 0; Goals against: 0; Offensive Free balls: 1; Defensive Free balls: 0; Offensive field percentage: 0.5408333333333334; Defensive field percentage: 0.45916666666666667
